date,route,vessel_class,period,price
2021-01-25,Mozambique-Gopalpur,Capesize,6M,19.6
2021-01-25,Mozambique-Gopalpur,Capesize,1Y,19.51
2021-01-25,Mozambique-Haldia,Panamax,1M,23.02
2021-01-25,Mozambique-Haldia,Panamax,3M,23.05
2021-01-25,Mozambique-Haldia,Panamax,6M,23.46
2021-01-25,Mozambique-Haldia,Panamax,1Y,24.19
2021-01-25,Mozambique-Haldia,Capesize,1M,20.9
2021-01-25,Mozambique-Haldia,Capesize,3M,20.45
2021-01-25,Mozambique-Haldia,Capesize,6M,20.88
2021-01-25,Mozambique-Haldia,Capesize,1Y,21.43
2021-01-25,USA-Paradip,Panamax,1M,33.76
2021-01-25,USA-Paradip,Panamax,3M,32.93
2021-01-25,USA-Paradip,Panamax,6M,34.27
2021-01-25,USA-Paradip,Panamax,1Y,33.23
2021-01-25,USA-Paradip,Capesize,1M,30.06
2021-01-25,USA-Paradip,Capesize,3M,30.92
2021-01-25,USA-Paradip,Capesize,6M,30.72
2021-01-25,USA-Paradip,Capesize,1Y,31.41
2021-01-25,USA-Vizag,Panamax,1M,34.05
2021-01-25,USA-Vizag,Panamax,3M,35.01
2021-01-25,USA-Vizag,Panamax,6M,35.04
2021-01-25,USA-Vizag,Panamax,1Y,35.15
2021-01-25,USA-Vizag,Capesize,1M,35.0
2021-01-25,USA-Vizag,Capesize,3M,36.01
2021-01-25,USA-Vizag,Capesize,6M,36.7
2021-01-25,USA-Vizag,Capesize,1Y,36.52
2021-01-25,USA-Dhamra,Panamax,1M,33.67
2021-01-25,USA-Dhamra,Panamax,3M,33.48
2021-01-25,USA-Dhamra,Panamax,6M,33.99
2021-01-25,USA-Dhamra,Panamax,1Y,35.1
2021-01-25,USA-Dhamra,Capesize,1M,35.52
2021-01-25,USA-Dhamra,Capesize,3M,36.88
2021-01-25,USA-Dhamra,Capesize,6M,37.06
2021-01-25,USA-Dhamra,Capesize,1Y,37.65
2021-01-25,USA-Gangavaram,Panamax,1M,32.26
2021-01-25,USA-Gangavaram,Panamax,3M,33.21
2021-01-25,USA-Gangavaram,Panamax,6M,33.59
2021-01-25,USA-Gangavaram,Panamax,1Y,34.47
2021-01-25,USA-Gangavaram,Capesize,1M,28.22
2021-01-25,USA-Gangavaram,Capesize,3M,28.58
2021-01-25,USA-Gangavaram,Capesize,6M,28.63
2021-01-25,USA-Gangavaram,Capesize,1Y,29.45
2021-01-25,USA-Gopalpur,Panamax,1M,33.01
2021-01-25,USA-Gopalpur,Panamax,3M,32.39
2021-01-25,USA-Gopalpur,Panamax,6M,33.15
2021-01-25,USA-Gopalpur,Panamax,1Y,32.53
2021-01-25,USA-Gopalpur,Capesize,1M,33.13
2021-01-25,USA-Gopalpur,Capesize,3M,32.69
2021-01-25,USA-Gopalpur,Capesize,6M,33.68
2021-01-25,USA-Gopalpur,Capesize,1Y,34.18
2021-01-25,USA-Haldia,Panamax,1M,33.17
2021-01-25,USA-Haldia,Panamax,3M,33.22
2021-01-25,USA-Haldia,Panamax,6M,33.72
2021-01-25,USA-Haldia,Panamax,1Y,34.45
2021-01-25,USA-Haldia,Capesize,1M,35.53
2021-01-25,USA-Haldia,Capesize,3M,35.38
2021-01-25,USA-Haldia,Capesize,6M,36.04
2021-01-25,USA-Haldia,Capesize,1Y,36.79
2021-02-24,Australia-Paradip,Panamax,1M,15.06
2021-02-24,Australia-Paradip,Panamax,3M,15.35
2021-02-24,Australia-Paradip,Panamax,6M,15.32
2021-02-24,Australia-Paradip,Panamax,1Y,15.99
2021-02-24,Australia-Paradip,Capesize,1M,16.54
2021-02-24,Australia-Paradip,Capesize,3M,16.31
2021-02-24,Australia-Paradip,Capesize,6M,16.52
2021-02-24,Australia-Paradip,Capesize,1Y,17.05
2021-02-24,Australia-Vizag,Panamax,1M,18.08
2021-02-24,Australia-Vizag,Panamax,3M,17.57
2021-02-24,Australia-Vizag,Panamax,6M,18.51
2021-02-24,Australia-Vizag,Panamax,1Y,18.44
2021-02-24,Australia-Vizag,Capesize,1M,16.24
2021-02-24,Australia-Vizag,Capesize,3M,16.13
2021-02-24,Australia-Vizag,Capesize,6M,16.54
2021-02-24,Australia-Vizag,Capesize,1Y,16.31
2021-02-24,Australia-Dhamra,Panamax,1M,14.99
2021-02-24,Australia-Dhamra,Panamax,3M,15.15
2021-02-24,Australia-Dhamra,Panamax,6M,15.61
2021-02-24,Australia-Dhamra,Panamax,1Y,15.27
2021-02-24,Australia-Dhamra,Capesize,1M,15.74
2021-02-24,Australia-Dhamra,Capesize,3M,16.11
2021-02-24,Australia-Dhamra,Capesize,6M,16.22
2021-02-24,Australia-Dhamra,Capesize,1Y,16.43
2021-02-24,Australia-Gangavaram,Panamax,1M,16.7
2021-02-24,Australia-Gangavaram,Panamax,3M,16.74
2021-02-24,Australia-Gangavaram,Panamax,6M,17.05
2021-02-24,Australia-Gangavaram,Panamax,1Y,17.61
2021-02-24,Australia-Gangavaram,Capesize,1M,14.16
2021-02-24,Australia-Gangavaram,Capesize,3M,14.65
2021-02-24,Australia-Gangavaram,Capesize,6M,14.3
2021-02-24,Australia-Gangavaram,Capesize,1Y,14.71
2021-02-24,Australia-Gopalpur,Panamax,1M,16.11
2021-02-24,Australia-Gopalpur,Panamax,3M,16.4
2021-02-24,Australia-Gopalpur,Panamax,6M,16.09
2021-02-24,Australia-Gopalpur,Panamax,1Y,16.37
2021-02-24,Australia-Gopalpur,Capesize,1M,14.9
2021-02-24,Australia-Gopalpur,Capesize,3M,15.53
2021-02-24,Australia-Gopalpur,Capesize,6M,15.47
2021-02-24,Australia-Gopalpur,Capesize,1Y,15.57
2021-02-24,Australia-Haldia,Panamax,1M,16.25
2021-02-24,Australia-Haldia,Panamax,3M,16.67
2021-02-24,Australia-Haldia,Panamax,6M,16.3
2021-02-24,Australia-Haldia,Panamax,1Y,17.26
2021-02-24,Australia-Haldia,Capesize,1M,15.44
2021-02-24,Australia-Haldia,Capesize,3M,15.61
2021-02-24,Australia-Haldia,Capesize,6M,15.66
2021-02-24,Australia-Haldia,Capesize,1Y,15.93
2021-02-24,Indonesia-Paradip,Panamax,1M,12.4
2021-02-24,Indonesia-Paradip,Panamax,3M,12.57
2021-02-24,Indonesia-Paradip,Panamax,6M,12.65
2021-02-24,Indonesia-Paradip,Panamax,1Y,12.71
2021-02-24,Indonesia-Paradip,Capesize,1M,10.77
2021-02-24,Indonesia-Paradip,Capesize,3M,10.88
2021-02-24,Indonesia-Paradip,Capesize,6M,11.24
2021-02-24,Indonesia-Paradip,Capesize,1Y,11.72
2021-02-24,Indonesia-Vizag,Panamax,1M,10.54
2021-02-24,Indonesia-Vizag,Panamax,3M,10.72
2021-02-24,Indonesia-Vizag,Panamax,6M,10.7
2021-02-24,Indonesia-Vizag,Panamax,1Y,10.91
2021-02-24,Indonesia-Vizag,Capesize,1M,9.83
2021-02-24,Indonesia-Vizag,Capesize,3M,9.81
2021-02-24,Indonesia-Vizag,Capesize,6M,10.23
2021-02-24,Indonesia-Vizag,Capesize,1Y,10.11
2021-02-24,Indonesia-Dhamra,Panamax,1M,11.89
2021-02-24,Indonesia-Dhamra,Panamax,3M,11.79
2021-02-24,Indonesia-Dhamra,Panamax,6M,11.48
2021-02-24,Indonesia-Dhamra,Panamax,1Y,11.98
2021-02-24,Indonesia-Dhamra,Capesize,1M,10.44
2021-02-24,Indonesia-Dhamra,Capesize,3M,10.69
2021-02-24,Indonesia-Dhamra,Capesize,6M,10.32
2021-02-24,Indonesia-Dhamra,Capesize,1Y,10.77
2021-02-24,Indonesia-Gangavaram,Panamax,1M,8.97
2021-02-24,Indonesia-Gangavaram,Panamax,3M,8.9
2021-02-24,Indonesia-Gangavaram,Panamax,6M,8.89
2021-02-24,Indonesia-Gangavaram,Panamax,1Y,9.21
2021-02-24,Indonesia-Gangavaram,Capesize,1M,10.24
2021-02-24,Indonesia-Gangavaram,Capesize,3M,10.44
2021-02-24,Indonesia-Gangavaram,Capesize,6M,10.24
2021-02-24,Indonesia-Gangavaram,Capesize,1Y,10.6
2021-02-24,Indonesia-Gopalpur,Panamax,1M,10.55
2021-02-24,Indonesia-Gopalpur,Panamax,3M,10.67
2021-02-24,Indonesia-Gopalpur,Panamax,6M,10.45
2021-02-24,Indonesia-Gopalpur,Panamax,1Y,10.8
2021-02-24,Indonesia-Gopalpur,Capesize,1M,11.89
2021-02-24,Indonesia-Gopalpur,Capesize,3M,11.88
2021-02-24,Indonesia-Gopalpur,Capesize,6M,11.65
2021-02-24,Indonesia-Gopalpur,Capesize,1Y,11.97
2021-02-24,Indonesia-Haldia,Panamax,1M,12.21
2021-02-24,Indonesia-Haldia,Panamax,3M,12.1
2021-02-24,Indonesia-Haldia,Panamax,6M,12.01
2021-02-24,Indonesia-Haldia,Panamax,1Y,12.12
2021-02-24,Indonesia-Haldia,Capesize,1M,10.86
2021-02-24,Indonesia-Haldia,Capesize,3M,10.87
2021-02-24,Indonesia-Haldia,Capesize,6M,10.63
2021-02-24,Indonesia-Haldia,Capesize,1Y,11.48
2021-02-24,Russia-Paradip,Panamax,1M,23.29
2021-02-24,Russia-Paradip,Panamax,3M,23.16
2021-02-24,Russia-Paradip,Panamax,6M,23.45
2021-02-24,Russia-Paradip,Panamax,1Y,23.64
2021-02-24,Russia-Paradip,Capesize,1M,21.33
2021-02-24,Russia-Paradip,Capesize,3M,22.2
2021-02-24,Russia-Paradip,Capesize,6M,22.35
2021-02-24,Russia-Paradip,Capesize,1Y,22.49
2021-02-24,Russia-Vizag,Panamax,1M,22.44
2021-02-24,Russia-Vizag,Panamax,3M,22.59
2021-02-24,Russia-Vizag,Panamax,6M,22.72
2021-02-24,Russia-Vizag,Panamax,1Y,23.71
2021-02-24,Russia-Vizag,Capesize,1M,23.07
2021-02-24,Russia-Vizag,Capesize,3M,23.64
2021-02-24,Russia-Vizag,Capesize,6M,23.33
2021-02-24,Russia-Vizag,Capesize,1Y,24.13
2021-02-24,Russia-Dhamra,Panamax,1M,26.32
2021-02-24,Russia-Dhamra,Panamax,3M,26.6
2021-02-24,Russia-Dhamra,Panamax,6M,27.43
2021-02-24,Russia-Dhamra,Panamax,1Y,27.18
2021-02-24,Russia-Dhamra,Capesize,1M,23.59
2021-02-24,Russia-Dhamra,Capesize,3M,23.57
2021-02-24,Russia-Dhamra,Capesize,6M,23.74
2021-02-24,Russia-Dhamra,Capesize,1Y,24.11
2021-02-24,Russia-Gangavaram,Panamax,1M,22.77
2021-02-24,Russia-Gangavaram,Panamax,3M,22.81
2021-02-24,Russia-Gangavaram,Panamax,6M,23.46
2021-02-24,Russia-Gangavaram,Panamax,1Y,23.96
2021-02-24,Russia-Gangavaram,Capesize,1M,21.27
2021-02-24,Russia-Gangavaram,Capesize,3M,20.77
2021-02-24,Russia-Gangavaram,Capesize,6M,21.32
2021-02-24,Russia-Gangavaram,Capesize,1Y,21.8
2021-02-24,Russia-Gopalpur,Panamax,1M,20.28
2021-02-24,Russia-Gopalpur,Panamax,3M,20.09
2021-02-24,Russia-Gopalpur,Panamax,6M,20.21
2021-02-24,Russia-Gopalpur,Panamax,1Y,21.12
2021-02-24,Russia-Gopalpur,Capesize,1M,22.52
2021-02-24,Russia-Gopalpur,Capesize,3M,22.85
2021-02-24,Russia-Gopalpur,Capesize,6M,23.43
2021-02-24,Russia-Gopalpur,Capesize,1Y,23.64
2021-02-24,Russia-Haldia,Panamax,1M,25.25
2021-02-24,Russia-Haldia,Panamax,3M,25.14
2021-02-24,Russia-Haldia,Panamax,6M,25.67
2021-02-24,Russia-Haldia,Panamax,1Y,26.42
2021-02-24,Russia-Haldia,Capesize,1M,22.95
2021-02-24,Russia-Haldia,Capesize,3M,22.02
2021-02-24,Russia-Haldia,Capesize,6M,23.16
2021-02-24,Russia-Haldia,Capesize,1Y,23.99
2021-02-24,Mozambique-Paradip,Panamax,1M,25.1
2021-02-24,Mozambique-Paradip,Panamax,3M,24.59
2021-02-24,Mozambique-Paradip,Panamax,6M,25.53
2021-02-24,Mozambique-Paradip,Panamax,1Y,25.54
2021-02-24,Mozambique-Paradip,Capesize,1M,19.41
2021-02-24,Mozambique-Paradip,Capesize,3M,19.7
2021-02-24,Mozambique-Paradip,Capesize,6M,20.15
2021-02-24,Mozambique-Paradip,Capesize,1Y,20.95
2021-02-24,Mozambique-Vizag,Panamax,1M,20.21
2021-02-24,Mozambique-Vizag,Panamax,3M,21.02
2021-02-24,Mozambique-Vizag,Panamax,6M,21.21
2021-02-24,Mozambique-Vizag,Panamax,1Y,21.06
2021-02-24,Mozambique-Vizag,Capesize,1M,20.23
2021-02-24,Mozambique-Vizag,Capesize,3M,21.34
2021-02-24,Mozambique-Vizag,Capesize,6M,21.15
2021-02-24,Mozambique-Vizag,Capesize,1Y,21.81
2021-02-24,Mozambique-Dhamra,Panamax,1M,21.24
2021-02-24,Mozambique-Dhamra,Panamax,3M,21.74
2021-02-24,Mozambique-Dhamra,Panamax,6M,22.08
2021-02-24,Mozambique-Dhamra,Panamax,1Y,22.37
2021-02-24,Mozambique-Dhamra,Capesize,1M,21.12
2021-02-24,Mozambique-Dhamra,Capesize,3M,21.47
2021-02-24,Mozambique-Dhamra,Capesize,6M,21.11
2021-02-24,Mozambique-Dhamra,Capesize,1Y,21.42
2021-02-24,Mozambique-Gangavaram,Panamax,1M,18.79
2021-02-24,Mozambique-Gangavaram,Panamax,3M,19.65
2021-02-24,Mozambique-Gangavaram,Panamax,6M,19.34
2021-02-24,Mozambique-Gangavaram,Panamax,1Y,20.21
2021-02-24,Mozambique-Gangavaram,Capesize,1M,21.44
2021-02-24,Mozambique-Gangavaram,Capesize,3M,22.05
2021-02-24,Mozambique-Gangavaram,Capesize,6M,22.05
2021-02-24,Mozambique-Gangavaram,Capesize,1Y,22.41
2021-02-24,Mozambique-Gopalpur,Panamax,1M,20.2
2021-02-24,Mozambique-Gopalpur,Panamax,3M,21.32
2021-02-24,Mozambique-Gopalpur,Panamax,6M,20.86
2021-02-24,Mozambique-Gopalpur,Panamax,1Y,21.12
2021-02-24,Mozambique-Gopalpur,Capesize,1M,18.79
2021-02-24,Mozambique-Gopalpur,Capesize,3M,18.83
2021-02-24,Mozambique-Gopalpur,Capesize,6M,19.09
2021-02-24,Mozambique-Gopalpur,Capesize,1Y,19.5
2021-02-24,Mozambique-Haldia,Panamax,1M,18.61
2021-02-24,Mozambique-Haldia,Panamax,3M,18.88
2021-02-24,Mozambique-Haldia,Panamax,6M,19.05
2021-02-24,Mozambique-Haldia,Panamax,1Y,19.12
2021-02-24,Mozambique-Haldia,Capesize,1M,21.74
2021-02-24,Mozambique-Haldia,Capesize,3M,22.31
2021-02-24,Mozambique-Haldia,Capesize,6M,22.07
2021-02-24,Mozambique-Haldia,Capesize,1Y,22.97
2021-02-24,USA-Paradip,Panamax,1M,31.86
2021-02-24,USA-Paradip,Panamax,3M,33.03
2021-02-24,USA-Paradip,Panamax,6M,31.71
2021-02-24,USA-Paradip,Panamax,1Y,32.96
2021-02-24,USA-Paradip,Capesize,1M,30.97
2021-02-24,USA-Paradip,Capesize,3M,32.11
2021-02-24,USA-Paradip,Capesize,6M,32.33
2021-02-24,USA-Paradip,Capesize,1Y,32.97
2021-02-24,USA-Vizag,Panamax,1M,32.78
2021-02-24,USA-Vizag,Panamax,3M,32.84
2021-02-24,USA-Vizag,Panamax,6M,33.04
2021-02-24,USA-Vizag,Panamax,1Y,34.06
2021-02-24,USA-Vizag,Capesize,1M,35.86
2021-02-24,USA-Vizag,Capesize,3M,36.78
2021-02-24,USA-Vizag,Capesize,6M,36.75
2021-02-24,USA-Vizag,Capesize,1Y,38.85
2021-02-24,USA-Dhamra,Panamax,1M,36.24
2021-02-24,USA-Dhamra,Panamax,3M,37.16
2021-02-24,USA-Dhamra,Panamax,6M,36.65
2021-02-24,USA-Dhamra,Panamax,1Y,38.5
2021-02-24,USA-Dhamra,Capesize,1M,33.58
2021-02-24,USA-Dhamra,Capesize,3M,34.35
2021-02-24,USA-Dhamra,Capesize,6M,34.75
2021-02-24,USA-Dhamra,Capesize,1Y,35.91
2021-02-24,USA-Gangavaram,Panamax,1M,33.62
2021-02-24,USA-Gangavaram,Panamax,3M,34.0
2021-02-24,USA-Gangavaram,Panamax,6M,34.3
2021-02-24,USA-Gangavaram,Panamax,1Y,34.41
2021-02-24,USA-Gangavaram,Capesize,1M,33.29
2021-02-24,USA-Gangavaram,Capesize,3M,33.56
2021-02-24,USA-Gangavaram,Capesize,6M,33.53
2021-02-24,USA-Gangavaram,Capesize,1Y,34.94
2021-02-24,USA-Gopalpur,Panamax,1M,33.08
2021-02-24,USA-Gopalpur,Panamax,3M,33.46
2021-02-24,USA-Gopalpur,Panamax,6M,33.64
2021-02-24,USA-Gopalpur,Panamax,1Y,33.98
2021-02-24,USA-Gopalpur,Capesize,1M,32.23
2021-02-24,USA-Gopalpur,Capesize,3M,32.24
2021-02-24,USA-Gopalpur,Capesize,6M,33.09
2021-02-24,USA-Gopalpur,Capesize,1Y,32.87
2021-02-24,USA-Haldia,Panamax,1M,33.2
2021-02-24,USA-Haldia,Panamax,3M,33.23
2021-02-24,USA-Haldia,Panamax,6M,33.31
2021-02-24,USA-Haldia,Panamax,1Y,33.88
2021-02-24,USA-Haldia,Capesize,1M,34.74
2021-02-24,USA-Haldia,Capesize,3M,34.49
2021-02-24,USA-Haldia,Capesize,6M,34.59
2021-02-24,USA-Haldia,Capesize,1Y,36.03
2021-03-26,Australia-Paradip,Panamax,1M,15.61
2021-03-26,Australia-Paradip,Panamax,3M,16.12
2021-03-26,Australia-Paradip,Panamax,6M,15.94
2021-03-26,Australia-Paradip,Panamax,1Y,15.99
2021-03-26,Australia-Paradip,Capesize,1M,17.79
2021-03-26,Australia-Paradip,Capesize,3M,17.92
2021-03-26,Australia-Paradip,Capesize,6M,17.69
2021-03-26,Australia-Paradip,Capesize,1Y,19.55
2021-03-26,Australia-Vizag,Panamax,1M,16.9
2021-03-26,Australia-Vizag,Panamax,3M,16.88
2021-03-26,Australia-Vizag,Panamax,6M,17.17
2021-03-26,Australia-Vizag,Panamax,1Y,17.59
2021-03-26,Australia-Vizag,Capesize,1M,14.29
2021-03-26,Australia-Vizag,Capesize,3M,14.32
2021-03-26,Australia-Vizag,Capesize,6M,14.5
2021-03-26,Australia-Vizag,Capesize,1Y,14.79
2021-03-26,Australia-Dhamra,Panamax,1M,14.44
2021-03-26,Australia-Dhamra,Panamax,3M,14.65
2021-03-26,Australia-Dhamra,Panamax,6M,15.17
2021-03-26,Australia-Dhamra,Panamax,1Y,15.63
2021-03-26,Australia-Dhamra,Capesize,1M,17.92
2021-03-26,Australia-Dhamra,Capesize,3M,17.26
2021-03-26,Australia-Dhamra,Capesize,6M,17.84
2021-03-26,Australia-Dhamra,Capesize,1Y,18.6
2021-03-26,Australia-Gangavaram,Panamax,1M,15.29
2021-03-26,Australia-Gangavaram,Panamax,3M,15.56
2021-03-26,Australia-Gangavaram,Panamax,6M,15.99
2021-03-26,Australia-Gangavaram,Panamax,1Y,16.45
2021-03-26,Australia-Gangavaram,Capesize,1M,17.54
2021-03-26,Australia-Gangavaram,Capesize,3M,17.45
2021-03-26,Australia-Gangavaram,Capesize,6M,17.52
2021-03-26,Australia-Gangavaram,Capesize,1Y,18.45
2021-03-26,Australia-Gopalpur,Panamax,1M,17.28
2021-03-26,Australia-Gopalpur,Panamax,3M,17.63
2021-03-26,Australia-Gopalpur,Panamax,6M,17.58
2021-03-26,Australia-Gopalpur,Panamax,1Y,18.66
2021-03-26,Australia-Gopalpur,Capesize,1M,16.19
2021-03-26,Australia-Gopalpur,Capesize,3M,16.03
2021-03-26,Australia-Gopalpur,Capesize,6M,16.31
2021-03-26,Australia-Gopalpur,Capesize,1Y,16.97
2021-03-26,Australia-Haldia,Panamax,1M,14.31
2021-03-26,Australia-Haldia,Panamax,3M,14.2
2021-03-26,Australia-Haldia,Panamax,6M,14.57
2021-03-26,Australia-Haldia,Panamax,1Y,15.01
2021-03-26,Australia-Haldia,Capesize,1M,16.48
2021-03-26,Australia-Haldia,Capesize,3M,16.81
2021-03-26,Australia-Haldia,Capesize,6M,17.26
2021-03-26,Australia-Haldia,Capesize,1Y,17.52
2021-03-26,Indonesia-Paradip,Panamax,1M,10.65
2021-03-26,Indonesia-Paradip,Panamax,3M,11.17
2021-03-26,Indonesia-Paradip,Panamax,6M,11.02
2021-03-26,Indonesia-Paradip,Panamax,1Y,11.57
2021-03-26,Indonesia-Paradip,Capesize,1M,9.98
2021-03-26,Indonesia-Paradip,Capesize,3M,10.14
2021-03-26,Indonesia-Paradip,Capesize,6M,10.13
2021-03-26,Indonesia-Paradip,Capesize,1Y,10.25
2021-03-26,Indonesia-Vizag,Panamax,1M,9.67
2021-03-26,Indonesia-Vizag,Panamax,3M,9.65
2021-03-26,Indonesia-Vizag,Panamax,6M,9.99
2021-03-26,Indonesia-Vizag,Panamax,1Y,10.19
2021-03-26,Indonesia-Vizag,Capesize,1M,11.89
2021-03-26,Indonesia-Vizag,Capesize,3M,11.61
2021-03-26,Indonesia-Vizag,Capesize,6M,11.77
2021-03-26,Indonesia-Vizag,Capesize,1Y,12.01
2021-03-26,Indonesia-Dhamra,Panamax,1M,11.51
2021-03-26,Indonesia-Dhamra,Panamax,3M,11.68
2021-03-26,Indonesia-Dhamra,Panamax,6M,11.88
2021-03-26,Indonesia-Dhamra,Panamax,1Y,12.13
2021-03-26,Indonesia-Dhamra,Capesize,1M,10.54
2021-03-26,Indonesia-Dhamra,Capesize,3M,10.57
2021-03-26,Indonesia-Dhamra,Capesize,6M,10.89
2021-03-26,Indonesia-Dhamra,Capesize,1Y,10.99
2021-03-26,Indonesia-Gangavaram,Panamax,1M,10.5
2021-03-26,Indonesia-Gangavaram,Panamax,3M,10.86
2021-03-26,Indonesia-Gangavaram,Panamax,6M,10.81
2021-03-26,Indonesia-Gangavaram,Panamax,1Y,11.27
2021-03-26,Indonesia-Gangavaram,Capesize,1M,9.19
2021-03-26,Indonesia-Gangavaram,Capesize,3M,8.87
2021-03-26,Indonesia-Gangavaram,Capesize,6M,9.3
2021-03-26,Indonesia-Gangavaram,Capesize,1Y,9.5
2021-03-26,Indonesia-Gopalpur,Panamax,1M,10.61
2021-03-26,Indonesia-Gopalpur,Panamax,3M,11.24
2021-03-26,Indonesia-Gopalpur,Panamax,6M,11.05
2021-03-26,Indonesia-Gopalpur,Panamax,1Y,11.49
2021-03-26,Indonesia-Gopalpur,Capesize,1M,9.69
2021-03-26,Indonesia-Gopalpur,Capesize,3M,9.67
2021-03-26,Indonesia-Gopalpur,Capesize,6M,9.62
2021-03-26,Indonesia-Gopalpur,Capesize,1Y,10.12
2021-03-26,Indonesia-Haldia,Panamax,1M,8.52
2021-03-26,Indonesia-Haldia,Panamax,3M,8.91
2021-03-26,Indonesia-Haldia,Panamax,6M,8.95
2021-03-26,Indonesia-Haldia,Panamax,1Y,8.87
2021-03-26,Indonesia-Haldia,Capesize,1M,12.33
2021-03-26,Indonesia-Haldia,Capesize,3M,12.33
2021-03-26,Indonesia-Haldia,Capesize,6M,12.57
2021-03-26,Indonesia-Haldia,Capesize,1Y,12.89
2021-03-26,Russia-Paradip,Panamax,1M,24.3
2021-03-26,Russia-Paradip,Panamax,3M,24.47
2021-03-26,Russia-Paradip,Panamax,6M,24.7
2021-03-26,Russia-Paradip,Panamax,1Y,26.04
2021-03-26,Russia-Paradip,Capesize,1M,23.43
2021-03-26,Russia-Paradip,Capesize,3M,24.05
2021-03-26,Russia-Paradip,Capesize,6M,23.62
2021-03-26,Russia-Paradip,Capesize,1Y,24.44
2021-03-26,Russia-Vizag,Panamax,1M,23.46
2021-03-26,Russia-Vizag,Panamax,3M,23.94
2021-03-26,Russia-Vizag,Panamax,6M,23.72
2021-03-26,Russia-Vizag,Panamax,1Y,24.75
2021-03-26,Russia-Vizag,Capesize,1M,19.69
2021-03-26,Russia-Vizag,Capesize,3M,19.03
2021-03-26,Russia-Vizag,Capesize,6M,19.52
2021-03-26,Russia-Vizag,Capesize,1Y,20.28
2021-03-26,Russia-Dhamra,Panamax,1M,21.18
2021-03-26,Russia-Dhamra,Panamax,3M,21.64
2021-03-26,Russia-Dhamra,Panamax,6M,21.6
2021-03-26,Russia-Dhamra,Panamax,1Y,22.16
2021-03-26,Russia-Dhamra,Capesize,1M,21.11
2021-03-26,Russia-Dhamra,Capesize,3M,21.38
2021-03-26,Russia-Dhamra,Capesize,6M,22.07
2021-03-26,Russia-Dhamra,Capesize,1Y,22.52
2021-03-26,Russia-Gangavaram,Panamax,1M,25.36
2021-03-26,Russia-Gangavaram,Panamax,3M,24.82
2021-03-26,Russia-Gangavaram,Panamax,6M,25.54
2021-03-26,Russia-Gangavaram,Panamax,1Y,26.03
2021-03-26,Russia-Gangavaram,Capesize,1M,26.21
2021-03-26,Russia-Gangavaram,Capesize,3M,26.66
2021-03-26,Russia-Gangavaram,Capesize,6M,26.32
2021-03-26,Russia-Gangavaram,Capesize,1Y,26.77
2021-03-26,Russia-Gopalpur,Panamax,1M,26.31
2021-03-26,Russia-Gopalpur,Panamax,3M,25.55
2021-03-26,Russia-Gopalpur,Panamax,6M,26.35
2021-03-26,Russia-Gopalpur,Panamax,1Y,27.03
2021-03-26,Russia-Gopalpur,Capesize,1M,24.1
2021-03-26,Russia-Gopalpur,Capesize,3M,24.78
2021-03-26,Russia-Gopalpur,Capesize,6M,24.59
2021-03-26,Russia-Gopalpur,Capesize,1Y,24.81
2021-03-26,Russia-Haldia,Panamax,1M,27.49
2021-03-26,Russia-Haldia,Panamax,3M,27.27
2021-03-26,Russia-Haldia,Panamax,6M,27.53
2021-03-26,Russia-Haldia,Panamax,1Y,28.75
2021-03-26,Russia-Haldia,Capesize,1M,18.87
2021-03-26,Russia-Haldia,Capesize,3M,18.76
2021-03-26,Russia-Haldia,Capesize,6M,19.47
2021-03-26,Russia-Haldia,Capesize,1Y,19.87
2021-03-26,Mozambique-Paradip,Panamax,1M,22.09
2021-03-26,Mozambique-Paradip,Panamax,3M,22.38
2021-03-26,Mozambique-Paradip,Panamax,6M,22.88
2021-03-26,Mozambique-Paradip,Panamax,1Y,23.12
2021-03-26,Mozambique-Paradip,Capesize,1M,21.21
2021-03-26,Mozambique-Paradip,Capesize,3M,22.09
2021-03-26,Mozambique-Paradip,Capesize,6M,22.16
2021-03-26,Mozambique-Paradip,Capesize,1Y,22.22
2021-03-26,Mozambique-Vizag,Panamax,1M,21.8
2021-03-26,Mozambique-Vizag,Panamax,3M,22.61
2021-03-26,Mozambique-Vizag,Panamax,6M,22.32
2021-03-26,Mozambique-Vizag,Panamax,1Y,23.02
2021-03-26,Mozambique-Vizag,Capesize,1M,20.28
2021-03-26,Mozambique-Vizag,Capesize,3M,20.51
2021-03-26,Mozambique-Vizag,Capesize,6M,20.16
2021-03-26,Mozambique-Vizag,Capesize,1Y,20.72
2021-03-26,Mozambique-Dhamra,Panamax,1M,19.75
2021-03-26,Mozambique-Dhamra,Panamax,3M,20.11
2021-03-26,Mozambique-Dhamra,Panamax,6M,20.49
2021-03-26,Mozambique-Dhamra,Panamax,1Y,21.16
2021-03-26,Mozambique-Dhamra,Capesize,1M,17.86
2021-03-26,Mozambique-Dhamra,Capesize,3M,18.22
2021-03-26,Mozambique-Dhamra,Capesize,6M,18.69
2021-03-26,Mozambique-Dhamra,Capesize,1Y,18.59
2021-03-26,Mozambique-Gangavaram,Panamax,1M,21.42
2021-03-26,Mozambique-Gangavaram,Panamax,3M,22.26
2021-03-26,Mozambique-Gangavaram,Panamax,6M,22.41
2021-03-26,Mozambique-Gangavaram,Panamax,1Y,22.88
2021-03-26,Mozambique-Gangavaram,Capesize,1M,23.12
